選手名,チーム,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,完投,完封,year,沢村賞
小林　正人,中日,40.5,2,0,0,0,1,0,12,1.1,7,0,1,0,1,6,6,6,3.87,0,0,2014,0
片山　博視,楽天,9,4,0,1,0,0,0,10,1,2,0,4,1,0,1,1,6,15.12,0,0,2014,0
山本　翔也,阪神,9,2,0,0,0,0,0,6,1,3,0,0,0,1,1,1,3,1.12,0,0,2014,0
乾　真大,日本ハム,18,1,0,0,0,0,0,7,1,3,0,1,0,2,2,2,4,2.12,0,0,2014,0
平井　正史,オリックス,0,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,1,3.12,0,0,2014,0
日高　亮,ソフトバンク,0,1,0,0,0,0,0,6,1,1,0,1,0,0,2,0,2,6.12,0,0,2014,0
大山　暁史,オリックス,0,1,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,3.12,0,0,2014,0
日高　亮,ヤクルト,27,1,0,0,0,0,0,4,0.2,1,1,1,0,0,2,2,3,27.12,0,0,2014,0
菊地　和正,DeNA,27,2,0,1,0,0,0,2,0.1,1,1,0,0,0,1,1,3,42.12,0,0,2014,0
榎下　陽大,日本ハム,54,1,0,0,0,0,0,3,0.1,1,0,1,0,0,2,2,6,12.12,0,0,2014,0
三瀬　幸司,中日,0,1,0,0,0,1,0,1,0.1,0,0,0,0,1,0,0,0,-2.88,0,0,2014,0
須永　英輝,巨人,81,1,0,0,0,0,0,5,0.1,3,0,1,0,0,3,3,12,12.12,0,0,2014,0
鈴木　義広,中日,-,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,-,-,0,0,2014,0
大野　雄大,中日,2.52,28,11,10,0,1,0.524,826,207.1,169,12,47,3,154,67,58,1.04,3.1,6,3,2015,0
前田　健太,広島,2.09,29,15,8,0,0,0.652,821,206.1,168,5,41,6,175,49,48,1.01,2.41,5,0,2015,1
藤浪　晋太郎,阪神,2.4,28,14,7,0,0,0.667,840,199,162,9,82,11,221,70,53,1.23,2.89,7,4,2015,0
則本　昂大,楽天,2.91,28,10,11,0,0,0.476,797,194.2,176,14,48,4,215,68,63,1.15,2.65,3,1,2015,0
ジョンソン,広島,1.85,28,14,7,0,0,0.667,773,194.1,146,5,67,2,150,43,40,1.1,2.98,1,1,2015,0
メッセンジャー,阪神,2.97,29,9,12,0,0,0.429,799,193.2,163,10,60,4,194,68,64,1.15,2.78,0,0,2015,0
涌井　秀章,ロッテ,3.39,28,15,9,0,0,0.625,786,188.2,178,11,57,8,117,79,71,1.25,3.67,1,0,2015,0
菅野　智之,巨人,1.91,25,10,11,0,0,0.476,710,179,148,10,41,7,126,46,38,1.06,3.18,6,2,2015,0
石川　歩,ロッテ,3.27,27,12,12,0,0,0.5,751,178.2,191,15,34,5,126,68,65,1.26,3.46,3,2,2015,0
岩田　稔,阪神,3.22,27,8,10,0,0,0.444,722,170.1,168,13,49,5,119,66,61,1.27,3.65,2,1,2015,0
黒田　博樹,広島,2.55,26,11,8,0,0,0.579,685,169.2,158,8,29,7,106,53,48,1.1,3.12,1,0,2015,0
小川　泰弘,ヤクルト,3.11,27,11,8,0,0,0.579,700,168,152,18,48,4,128,66,58,1.19,3.92,1,1,2015,0
武田　翔太,ソフトバンク,3.17,25,13,6,0,0,0.684,684,164.2,142,14,59,2,163,60,58,1.22,3.36,1,1,2015,0
高木　勇人,巨人,3.19,26,9,10,0,0,0.474,678,163.2,143,16,47,8,131,66,58,1.16,3.78,1,1,2015,0
西　勇輝,オリックス,2.38,24,10,6,0,0,0.625,655,162.2,140,11,43,6,143,46,43,1.13,3.14,3,2,2015,0
東明　大貴,オリックス,3.35,25,10,8,0,0,0.556,663,161.1,148,16,41,5,118,61,60,1.17,3.76,2,1,2015,0
大谷　翔平,日本ハム,2.24,22,15,5,0,0,0.75,621,160.2,100,7,46,3,196,40,40,0.91,2.16,5,3,2015,0
能見　篤史,阪神,3.72,27,11,13,0,0,0.458,672,159.2,170,13,38,2,125,73,66,1.3,3.35,1,1,2015,0
吉川　光夫,日本ハム,3.84,26,11,8,0,0,0.579,684,159.1,151,16,57,11,93,72,68,1.31,4.54,2,0,2015,0
中田　賢一,ソフトバンク,3.24,24,9,7,0,0,0.563,657,155.1,134,17,61,9,130,60,56,1.26,4.22,3,0,2015,0
十亀　剣,西武,3.55,26,11,7,0,0,0.611,644,152,145,19,53,8,107,62,60,1.3,4.54,1,0,2015,0
メンドーサ,日本ハム,3.51,26,10,8,0,1,0.556,626,148.2,134,8,62,8,85,63,58,1.32,4.07,1,0,2015,0
ポレダ,巨人,2.94,24,8,8,0,0,0.5,619,147,133,6,46,8,101,57,48,1.22,3.34,0,0,2015,0
石川　雅規,ヤクルト,3.31,25,13,9,0,0,0.591,598,146.2,150,16,28,3,90,59,54,1.21,3.92,1,1,2015,0
マイコラス,巨人,1.92,21,13,3,0,0,0.813,557,145,107,8,23,1,107,34,31,0.9,2.86,4,2,2015,0
スタンリッジ,ソフトバンク,3.74,23,10,7,0,0,0.588,617,144.1,150,12,44,8,81,64,60,1.34,4.16,1,1,2015,0
山井　大介,中日,3.92,33,4,12,2,5,0.25,589,140,132,13,50,2,79,69,61,1.3,4.27,0,0,2015,0
若松　駿太,中日,2.12,23,10,4,0,0,0.714,575,140,111,10,50,2,113,35,33,1.15,3.53,2,1,2015,0
牧田　和久,西武,3.66,34,9,11,3,0,0.45,596,137.2,143,7,44,11,66,68,56,1.36,3.98,1,0,2015,0
井納　翔一,DeNA,3.27,21,5,8,0,0,0.385,598,134.2,164,13,40,3,92,56,49,1.51,3.97,3,0,2015,0
野上　亮磨,西武,4.22,27,7,7,0,0,0.5,565,134.1,127,15,46,4,77,68,63,1.29,4.54,0,0,2015,0
攝津　正,ソフトバンク,3.22,20,10,7,0,0,0.588,566,134,130,14,45,4,92,61,48,1.31,4.2,2,0,2015,0
大嶺　祐太,ロッテ,3.17,24,8,7,0,0,0.533,574,133.1,141,8,46,5,70,49,47,1.4,4,1,1,2015,0
菊池　雄星,西武,2.84,23,9,10,0,0,0.474,542,133,97,9,55,2,122,48,42,1.14,3.43,0,0,2015,0
バルデス,中日,3.18,22,5,8,0,0,0.385,560,133,130,6,36,2,93,56,47,1.25,3.17,1,0,2015,0
戸村　健次,楽天,3.84,37,7,11,0,1,0.389,572,131.1,152,7,40,4,78,68,56,1.46,3.63,1,0,2015,0
福井　優也,広島,3.56,21,9,6,0,0,0.6,541,131.1,106,10,53,5,99,53,52,1.21,3.93,0,0,2015,0
ディクソン,オリックス,2.48,20,9,9,0,0,0.5,538,130.2,119,3,44,1,88,39,36,1.25,3.08,1,0,2015,0
久保　康友,DeNA,4.12,21,8,7,0,0,0.533,523,122.1,130,16,27,5,88,64,56,1.28,4.17,2,1,2015,0
イ・デウン,ロッテ,3.84,37,9,9,0,4,0.5,536,119.2,121,11,63,3,106,63,51,1.54,4.15,0,0,2015,0
山口　俊,DeNA,4.49,20,3,6,0,0,0.333,508,114.1,127,13,42,3,119,67,57,1.48,3.7,2,0,2015,0
石山　泰稚,ヤクルト,3.64,21,5,5,0,0,0.5,479,111.1,118,7,38,2,78,50,45,1.4,3.59,0,0,2015,0
岸　孝之,西武,3.02,16,5,6,0,0,0.455,434,110.1,75,6,25,5,91,40,37,0.91,2.99,5,0,2015,0
大瀬良　大地,広島,3.13,51,3,8,2,20,0.273,475,109.1,111,5,31,1,97,53,38,1.3,2.82,2,0,2015,0
レイ,楽天,3.79,22,5,7,0,2,0.417,461,107,107,14,31,7,76,50,45,1.29,4.47,0,0,2015,0
有原　航平,日本ハム,4.79,18,8,6,0,0,0.571,453,103.1,113,13,32,3,81,60,55,1.4,4.2,1,1,2015,0
菊池　保則,楽天,3.76,18,4,5,0,0,0.444,448,103,96,5,42,5,71,47,43,1.34,3.74,0,0,2015,0
三浦　大輔,DeNA,4.13,17,6,6,0,0,0.5,416,98,103,9,25,1,62,47,45,1.31,3.84,0,0,2015,0
塩見　貴洋,楽天,3.56,16,3,5,0,0,0.375,392,96,87,14,15,3,78,42,38,1.06,3.95,0,0,2015,0
杉内　俊哉,巨人,3.95,17,6,6,0,0,0.5,401,95.2,88,9,35,3,93,42,42,1.29,3.59,0,0,2015,0
金子　千尋,オリックス,3.19,16,7,6,0,1,0.538,379,93,85,8,18,0,79,34,33,1.11,3.12,0,0,2015,0
バンデンハーク,ソフトバンク,2.52,15,9,0,0,0,1,369,93,69,6,22,4,120,27,26,0.98,2.22,0,0,2015,0
三嶋　一輝,DeNA,4.81,20,5,5,0,0,0.5,384,88,84,9,34,3,67,52,47,1.34,4.19,0,0,2015,0
野村　祐輔,広島,4.64,15,5,8,0,0,0.385,384,87.1,110,11,23,3,51,53,45,1.52,4.48,0,0,2015,0
美馬　学,楽天,3.44,16,3,7,0,0,0.3,380,86.1,102,9,21,1,62,45,33,1.42,3.77,0,0,2015,0
寺原　隼人,ソフトバンク,3.44,21,8,3,0,2,0.727,332,83.2,71,11,19,3,58,32,32,1.08,4.23,0,0,2015,0
新垣　渚,ヤクルト,4.64,15,3,10,0,0,0.231,367,83.1,89,13,36,2,70,48,43,1.5,4.8,0,0,2015,0
松葉　貴大,オリックス,4.28,18,3,6,0,0,0.333,360,80,81,8,47,1,42,42,38,1.6,5.17,0,0,2015,0
郭　俊麟,西武,5.31,21,3,7,0,0,0.3,377,79.2,97,10,37,7,49,55,47,1.68,5.14,0,0,2015,0
成瀬　善久,ヤクルト,4.76,14,3,8,0,0,0.273,339,79.1,83,16,21,1,46,46,42,1.31,5.41,0,0,2015,0
ロマン,ヤクルト,2.4,61,5,5,0,23,0.5,330,78.2,66,2,35,3,58,25,21,1.28,3.35,0,0,2015,0
岩崎　優,阪神,3.51,15,3,10,0,0,0.231,326,77,74,7,19,5,57,39,30,1.21,3.72,0,0,2015,0
辛島　航,楽天,4.58,14,5,7,0,0,0.417,332,76.2,74,7,29,0,56,41,39,1.34,3.94,0,0,2015,0
秋吉　亮,ヤクルト,2.36,74,6,1,0,22,0.857,305,76.1,51,6,28,6,81,24,20,1.03,3.24,0,0,2015,0
砂田　毅樹,DeNA,3.2,14,3,5,0,0,0.375,335,76,85,5,28,2,57,34,27,1.49,3.66,0,0,2015,0
上沢　直之,日本ハム,4.18,13,5,6,0,0,0.455,335,75.1,75,6,30,5,43,41,35,1.39,4.41,1,0,2015,0
田島　慎二,中日,2.28,64,4,6,9,16,0.4,316,75,68,4,25,6,62,25,19,1.24,3.32,0,0,2015,0
大隣　憲司,ソフトバンク,2.54,11,5,4,0,0,0.556,300,74.1,62,9,15,6,35,25,21,1.04,4.6,3,2,2015,0
増田　達至,西武,3.04,72,2,4,3,40,0.333,302,74,64,1,15,4,62,26,25,1.07,2.31,0,0,2015,0
バリントン,オリックス,3.3,14,5,3,0,0,0.625,305,73.2,60,3,24,8,46,30,27,1.14,3.7,1,1,2015,0
中崎　翔太,広島,2.34,69,0,6,29,11,0,300,73,65,4,23,1,61,20,19,1.21,3.15,0,0,2015,0
松井　裕樹,楽天,0.87,63,3,2,33,12,0.6,284,72.1,37,3,28,2,103,7,7,0.9,2.06,0,0,2015,0
又吉　克樹,中日,3.36,63,6,6,0,30,0.5,301,72.1,64,5,23,4,82,27,27,1.2,2.87,0,0,2015,0
石田　健大,DeNA,2.89,12,2,6,0,0,0.25,300,71.2,67,6,26,1,58,23,23,1.3,3.72,0,0,2015,0
オンドルセク,ヤクルト,2.05,72,5,2,0,33,0.714,276,70.1,52,2,22,1,62,17,16,1.05,2.71,0,0,2015,0
武藤　好貴,楽天,4.39,60,4,4,1,8,0.5,316,69.2,83,5,29,5,38,35,34,1.61,4.43,0,0,2015,0
古野　正人,ヤクルト,4.78,27,4,3,0,1,0.571,307,69.2,91,6,18,5,39,38,37,1.56,4.11,0,0,2015,0
呉　昇桓,阪神,2.73,63,2,3,41,7,0.4,289,69.1,64,6,16,2,66,21,21,1.15,3.12,0,0,2015,0
澤村　拓一,巨人,1.32,60,7,3,36,3,0.7,282,68.1,58,4,21,3,60,12,10,1.16,3.18,0,0,2015,0
岡本　洋介,西武,4.35,42,1,2,0,6,0.333,284,68.1,62,12,20,6,43,34,33,1.2,5.24,0,0,2015,0
田口　麗斗,巨人,2.71,13,3,5,0,0,0.375,274,66.1,54,5,26,3,64,26,20,1.21,3.44,0,0,2015,0
サファテ,ソフトバンク,1.11,65,5,1,41,9,0.833,235,64.2,27,4,14,1,102,8,8,0.63,1.47,0,0,2015,0
大谷　智久,ロッテ,2.39,56,3,1,0,32,0.75,250,64,57,4,5,2,53,21,17,0.97,2.6,0,0,2015,0
バーネット,ヤクルト,1.29,59,3,1,41,6,0.75,246,62.2,37,1,19,3,56,10,9,0.89,2.59,0,0,2015,0
唐川　侑己,ロッテ,6.32,12,5,4,0,0,0.556,288,62.2,78,9,27,3,31,45,44,1.68,5.43,0,0,2015,0
館山　昌平,ヤクルト,2.89,11,6,3,0,0,0.667,260,62.1,44,4,36,4,36,22,20,1.28,4.68,0,0,2015,0
戸田　隆矢,広島,3.63,34,3,3,0,5,0.5,273,62,59,4,29,0,44,31,25,1.42,3.94,0,0,2015,0
高橋　朋己,西武,2.92,62,2,3,22,14,0.4,264,61.2,49,3,26,5,55,21,20,1.22,3.43,0,0,2015,0
チェン・グァンユウ,ロッテ,3.23,14,5,4,0,0,0.556,259,61.1,61,4,23,2,47,24,22,1.37,3.66,0,0,2015,0
モスコーソ,DeNA,5.19,15,3,6,0,2,0.333,267,60.2,62,8,27,1,54,36,35,1.47,4.39,0,0,2015,0
森　唯斗,ソフトバンク,2.69,55,5,2,0,16,0.714,234,60.1,46,3,10,1,66,18,18,0.93,2.13,0,0,2015,0
増井　浩俊,日本ハム,1.5,56,0,1,39,4,0,238,60,44,1,19,0,71,11,10,1.05,1.92,0,0,2015,0
八木　智哉,中日,3.92,14,4,6,0,0,0.4,257,59.2,63,10,22,2,45,30,26,1.42,5,0,0,2015,0
福山　博之,楽天,2.76,65,2,3,1,22,0.4,248,58.2,62,2,21,1,29,21,18,1.41,3.6,0,0,2015,0
佐藤　達也,オリックス,3.22,59,2,7,13,13,0.222,249,58.2,50,3,23,2,77,23,21,1.24,2.39,0,0,2015,0
マシソン,巨人,2.62,63,3,8,2,28,0.273,244,58.1,47,5,21,2,55,22,17,1.17,3.53,0,0,2015,0
青山　浩二,楽天,2.81,61,4,5,0,31,0.444,223,57.2,37,3,18,1,58,18,18,0.95,2.72,0,0,2015,0
白村　明弘,日本ハム,2.03,50,1,1,0,13,0.5,233,57.2,42,6,19,3,66,16,13,1.06,3.33,0,0,2015,0
山崎　福也,オリックス,4.53,17,3,6,0,0,0.333,258,57.2,49,9,34,3,35,35,29,1.44,5.81,0,0,2015,0
武隈　祥太,西武,2.83,67,6,1,1,11,0.857,255,57.1,55,1,36,1,36,18,18,1.59,3.92,0,0,2015,0
岡田　俊哉,中日,1.57,50,0,1,0,12,0,225,57.1,38,1,15,2,55,10,10,0.92,2.32,0,0,2015,0
谷元　圭介,日本ハム,3.18,61,4,2,0,20,0.667,241,56.2,54,0,15,2,47,21,20,1.22,2.31,0,0,2015,0
山崎　康晃,DeNA,1.92,58,2,4,37,7,0.333,215,56.1,38,2,11,1,66,13,12,0.87,1.88,0,0,2015,0
須田　幸太,DeNA,3.86,29,3,2,1,3,0.6,241,56,59,10,23,0,42,26,24,1.46,5.12,0,0,2015,0
大竹　寛,巨人,3.21,11,3,4,0,0,0.429,227,56,56,5,11,0,35,21,20,1.2,3.62,0,0,2015,0
藤岡　貴裕,ロッテ,3.79,31,2,2,0,6,0.5,234,54.2,51,4,20,4,52,25,23,1.3,3.38,0,0,2015,0
西野　勇士,ロッテ,1.83,54,1,2,34,4,0.333,219,54,44,1,12,1,71,13,11,1.04,1.4,0,0,2015,0
福原　忍,阪神,3.02,61,6,4,1,33,0.6,223,53.2,55,4,18,0,40,19,18,1.36,3.6,0,0,2015,0
益田　直也,ロッテ,3.91,51,3,2,0,11,0.6,227,53,48,2,21,2,42,23,23,1.3,3.27,0,0,2015,0
古谷　拓哉,ロッテ,4.42,11,3,4,0,0,0.429,235,53,50,7,28,3,39,27,26,1.47,5.12,0,0,2015,0
山口　鉄也,巨人,2.73,60,4,5,2,29,0.444,216,52.2,48,5,15,2,31,18,16,1.2,4.15,0,0,2015,0
岸田　護,オリックス,2.56,50,4,3,0,15,0.571,213,52.2,46,2,13,1,54,17,15,1.12,2.36,0,0,2015,0
二保　旭,ソフトバンク,3.25,44,6,1,0,5,0.857,229,52.2,51,3,23,3,28,21,19,1.41,4.28,0,0,2015,0
香月　良仁,ロッテ,2.92,40,1,1,1,2,0.5,221,52.1,51,4,16,2,36,18,17,1.28,3.77,0,0,2015,0
五十嵐　亮太,ソフトバンク,1.38,54,3,1,2,31,0.75,203,52,31,1,15,4,59,8,8,0.88,2.14,0,0,2015,0
白仁田　寛和,オリックス,3.29,43,2,2,0,2,0.5,221,52,52,1,23,0,27,20,19,1.44,3.6,0,0,2015,0
ネイラー,中日,3.81,10,4,3,0,0,0.571,220,52,48,5,19,4,41,22,22,1.29,4.12,0,0,2015,0
エレラ,DeNA,2.96,52,5,4,0,22,0.556,211,51.2,44,2,15,2,53,17,17,1.14,2.44,0,0,2015,0
徳山　武陽,ヤクルト,3.58,39,2,1,0,3,0.667,217,50.1,48,4,22,0,50,25,20,1.39,3.42,0,0,2015,0
山中　浩史,ヤクルト,3.24,9,6,2,0,0,0.75,210,50,54,5,7,5,20,21,18,1.22,4.34,1,1,2015,0
ヒース,広島,2.36,43,3,6,4,10,0.333,205,49.2,43,3,19,0,59,14,13,1.25,2.62,0,0,2015,0
中村　勝,日本ハム,4.17,10,2,4,0,0,0.333,218,49.2,41,5,33,3,26,23,23,1.49,5.56,1,0,2015,0
クルーズ,楽天,3.12,52,1,3,1,20,0.25,218,49,40,2,29,4,42,19,17,1.41,3.9,0,0,2015,0
宮國　椋丞,巨人,2.94,39,3,1,1,5,0.75,194,49,38,4,15,0,28,17,16,1.08,3.9,0,0,2015,0
吉見　一起,中日,0.94,8,3,0,0,0,1,186,48,34,0,12,1,39,5,5,0.96,2.31,0,0,2015,0
安藤　優也,阪神,3.02,50,5,4,0,15,0.556,184,44.2,43,4,11,2,32,17,15,1.21,3.59,0,0,2015,0
ルブラン,西武,4.23,8,2,5,0,0,0.286,196,44.2,43,6,18,2,26,26,21,1.37,4.98,1,0,2015,0
高橋　光成,西武,3.07,8,5,2,0,0,0.714,185,44,32,3,23,4,22,16,15,1.25,4.85,1,1,2015,0
塚原　頌平,オリックス,3.3,41,0,4,1,13,0,192,43.2,36,5,24,6,25,18,16,1.37,5.52,0,0,2015,0
浦野　博司,日本ハム,4.81,12,3,3,0,0,0.5,195,43,51,5,19,0,33,26,23,1.63,4.42,0,0,2015,0
吉田　一将,オリックス,5.27,14,1,5,0,1,0.167,191,42.2,51,7,19,1,25,28,25,1.64,5.35,0,0,2015,0
マエストリ,オリックス,3.19,28,0,2,1,1,0,190,42.1,37,5,23,3,34,18,15,1.42,4.75,0,0,2015,0
斎藤　佑樹,日本ハム,5.74,12,1,3,0,0,0.25,190,42.1,52,5,14,1,24,28,27,1.56,4.58,0,0,2015,0
小熊　凌祐,中日,4.07,13,1,1,0,1,0.5,183,42,39,6,17,2,24,21,19,1.33,5.19,0,0,2015,0
近藤　一樹,オリックス,6.05,10,1,4,0,0,0.2,190,41.2,49,1,14,3,24,31,28,1.51,3.5,0,0,2015,0
海田　智行,オリックス,2.61,48,2,2,0,8,0.5,180,41.1,38,3,15,2,27,15,12,1.28,3.85,0,0,2015,0
飯田　優也,ソフトバンク,3.48,35,0,1,0,4,0,176,41.1,30,3,22,1,44,16,16,1.26,3.46,0,0,2015,0
高木　京介,巨人,2.2,33,1,0,0,1,1,167,41,31,4,13,0,43,10,10,1.07,3.24,0,0,2015,0
戸根　千明,巨人,2.88,46,1,1,1,5,0.5,168,40.2,26,3,18,0,39,13,13,1.08,3.49,0,0,2015,0
宮西　尚生,日本ハム,2.7,50,3,3,0,25,0.5,163,40,29,4,11,1,30,19,12,1,3.75,0,0,2015,0
福谷　浩司,中日,4.05,42,3,4,19,4,0.429,176,40,38,3,20,3,25,19,18,1.45,4.57,0,0,2015,0
長田　秀一郎,DeNA,2.06,45,4,1,0,10,0.8,167,39.1,36,1,19,0,18,13,9,1.4,3.83,0,0,2015,0
一岡　竜司,広島,4.14,38,2,4,1,7,0.333,176,37,42,5,21,1,35,21,17,1.7,4.77,0,0,2015,0
武田　勝,日本ハム,5.84,9,3,2,0,0,0.6,168,37,51,6,5,4,15,26,24,1.51,5.15,0,0,2015,0
杉浦　稔大,ヤクルト,2.92,7,1,3,0,0,0.25,164,37,35,2,21,0,25,12,12,1.51,4.09,0,0,2015,0
松岡　健一,ヤクルト,3.44,38,2,0,1,4,1,152,36.2,31,1,15,4,31,14,14,1.25,3.34,0,0,2015,0
高宮　和也,阪神,3.03,52,2,0,0,8,1,157,35.2,35,2,15,3,27,14,12,1.4,3.85,0,0,2015,0
小杉　陽太,DeNA,4.33,27,3,3,0,2,0.5,164,35.1,37,3,20,1,27,21,17,1.61,4.48,0,0,2015,0
石井　裕也,日本ハム,2.06,51,0,1,0,7,0,151,35,31,0,14,1,26,15,8,1.29,2.92,0,0,2015,0
鍵谷　陽平,日本ハム,4.67,40,5,3,0,15,0.625,159,34.2,45,3,12,1,32,23,18,1.64,3.52,0,0,2015,0
バスケス,西武,3.63,34,3,1,0,9,0.75,161,34.2,40,0,21,3,21,15,14,1.76,3.73,0,0,2015,0
歳内　宏明,阪神,2.62,29,1,1,0,2,0.5,144,34.1,15,1,27,1,23,10,10,1.22,4.52,0,0,2015,0
高崎　健太郎,DeNA,4.98,7,2,3,0,0,0.4,149,34.1,46,1,10,0,19,19,19,1.63,3.27,0,0,2015,0
バリオス,ソフトバンク,3.18,30,0,2,1,20,0,152,34,37,1,16,3,34,15,12,1.56,3,0,0,2015,0
祖父江　大輔,中日,2.7,33,0,2,1,2,0,144,33.1,32,1,7,2,28,10,10,1.17,2.64,0,0,2015,0
国吉　佑樹,DeNA,2.43,28,3,2,1,0,0.6,138,33.1,22,1,16,3,28,10,9,1.14,3.54,0,0,2015,0
田中　健二朗,DeNA,2.2,35,2,2,1,16,0.5,140,32.2,29,1,16,0,29,9,8,1.38,3.21,0,0,2015,0
平田　真吾,DeNA,3.38,28,0,2,0,4,0,140,32,29,2,14,1,27,12,12,1.34,3.65,0,0,2015,0
岩本　輝,阪神,3.69,13,2,1,0,0,0.667,144,31.2,37,1,15,1,20,13,13,1.64,3.78,0,0,2015,0
松田　遼馬,阪神,5.74,30,3,2,0,3,0.6,143,31.1,36,4,15,1,31,20,20,1.63,4.33,0,0,2015,0
浅尾　拓也,中日,3.19,36,1,1,3,16,0.5,142,31,31,3,17,1,34,11,11,1.55,3.73,0,0,2015,0
平野　佳寿,オリックス,4.06,33,0,3,12,10,0,136,31,29,4,14,1,39,14,14,1.39,3.73,0,0,2015,0
中澤　雅人,ヤクルト,3.03,35,1,2,0,3,0.333,136,29.2,32,2,15,1,21,12,10,1.58,4.1,0,0,2015,0
松永　昂大,ロッテ,3.72,41,0,0,0,13,0,123,29,24,3,13,4,24,13,12,1.28,4.57,0,0,2015,0
カルロス・ロサ,ロッテ,4.97,29,1,3,0,11,0.25,126,29,33,4,11,0,21,16,16,1.52,4.6,0,0,2015,0
岩尾　利弘,西武,6.52,21,1,0,0,3,1,140,29,34,0,18,3,29,22,21,1.79,3.29,0,0,2015,0
クロッタ,日本ハム,6.59,30,2,2,0,7,0.5,145,28.2,36,2,19,5,18,24,21,1.92,5.18,0,0,2015,0
入野　貴大,楽天,4.18,19,1,1,0,1,0.5,127,28,32,5,13,0,24,16,13,1.61,5.01,0,0,2015,0
東浜　巨,ソフトバンク,4.82,6,1,2,0,0,0.333,135,28,34,2,17,1,23,15,15,1.82,4.33,0,0,2015,0
武藤　祐太,中日,3.95,8,2,3,0,0,0.4,120,27.1,31,2,12,0,10,14,12,1.57,4.66,0,0,2015,0
田中　靖洋,西武,1.35,18,1,1,1,0,0.5,105,26.2,23,1,7,0,13,4,4,1.13,3.42,0,0,2015,0
永川　勝浩,広島,4.78,26,1,1,0,9,0.5,119,26.1,27,2,14,3,27,14,14,1.56,3.99,0,0,2015,0
ガラテ,日本ハム,1.71,13,3,1,0,0,0.75,116,26.1,20,0,17,4,19,9,5,1.41,3.96,0,0,2015,0
今村　猛,広島,3.46,21,1,1,0,1,0.5,115,26,24,1,13,0,22,14,10,1.42,3.43,0,0,2015,0
高橋　聡文,中日,3.51,35,3,3,0,6,0.5,109,25.2,27,1,2,1,26,13,10,1.13,1.95,0,0,2015,0
屋宜　照悟,日本ハム,3.96,18,2,0,0,1,1,104,25,24,3,6,1,11,15,11,1.2,4.64,0,0,2015,0
薮田　和樹,広島,5.76,6,1,2,0,0,0.333,120,25,25,3,20,2,18,16,16,1.8,5.88,0,0,2015,0
久古　健太郎,ヤクルト,2.55,38,0,0,0,8,0,102,24.2,23,1,9,1,23,7,7,1.3,3,0,0,2015,0
内海　哲也,巨人,5.01,5,2,1,0,0,0.667,104,23.1,30,4,6,0,10,15,13,1.54,5.26,0,0,2015,0
三上　朋也,DeNA,0.81,21,1,1,0,9,0.5,93,22.1,16,0,9,1,20,3,2,1.12,2.67,0,0,2015,0
千賀　滉大,ソフトバンク,0.4,4,2,1,0,0,0.667,85,22.1,9,0,10,0,21,2,1,0.85,2.58,0,0,2015,0
内　竜也,ロッテ,1.27,22,1,1,6,7,0.5,88,21.1,18,0,8,2,21,5,3,1.22,2.56,0,0,2015,0
岡本　篤志,西武,3.05,23,1,0,0,5,1,89,20.2,25,2,2,2,8,9,7,1.31,4.18,0,0,2015,0
金森　敬之,ロッテ,5.66,16,1,0,0,1,1,95,20.2,29,4,6,1,17,13,13,1.69,5.01,0,0,2015,0
岩貞　祐太,阪神,4.35,5,1,1,0,0,0.5,95,20.2,24,2,11,2,11,12,10,1.69,5.2,0,0,2015,0
阿部　和成,ロッテ,4.5,14,1,1,0,0,0.5,89,20,26,3,8,0,11,10,10,1.7,5.17,0,0,2015,0
釜田　佳直,楽天,6.75,4,1,1,0,0,0.5,96,20,28,4,9,0,12,16,15,1.85,5.87,0,0,2015,0
笠原　将生,巨人,6.16,20,0,0,0,1,0,90,19,25,4,11,0,18,13,13,1.89,5.7,0,0,2015,0
宮田　和希,西武,5.21,18,1,0,0,0,1,91,19,19,3,15,0,15,11,11,1.79,5.96,0,0,2015,0
林　昌範,DeNA,7.23,24,1,1,0,4,0.5,89,18.2,26,1,6,0,10,15,15,1.71,3.55,0,0,2015,0
ライブリー,日本ハム,5.3,16,0,0,0,1,0,89,18.2,19,0,15,1,22,14,11,1.82,3.33,0,0,2015,0
島本　浩也,阪神,8.84,18,0,0,0,1,0,93,18.1,31,6,8,1,12,19,18,2.13,7.54,0,0,2015,0
帆足　和幸,ソフトバンク,3.44,3,1,0,0,0,1,75,18.1,21,2,3,0,12,7,7,1.31,3.72,0,0,2015,0
田原　誠次,巨人,1,18,1,0,0,4,1,75,18,11,1,9,2,18,2,2,1.11,3.68,0,0,2015,0
今井　啓介,広島,3,11,0,1,0,1,0,71,18,16,2,2,1,11,7,6,1,3.84,0,0,2015,0
川井　貴志,楽天,6,5,0,2,0,0,0,81,18,24,5,3,0,11,14,12,1.5,6.01,0,0,2015,0
前田　祐二,オリックス,5.09,15,1,1,0,2,0.5,88,17.2,24,2,12,1,13,11,10,2.04,5.16,0,0,2015,0
山本　哲哉,ヤクルト,3.12,17,0,0,0,2,0,72,17.1,20,1,2,1,11,6,6,1.27,3.12,0,0,2015,0
