選手名,チーム,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,完投,完封,year,沢村賞
ネルソン,中日,3.58,26,1,3,1,1,0.25,215,50.1,48,6,16,1,49,24,20,1.27,3.74,0,0,2009,0
クルーン,巨人,1.26,46,1,3,27,1,0.25,206,50,36,1,19,2,57,10,7,1.1,2.36,0,0,2009,0
高橋　聡文,中日,3.08,49,2,2,0,10,0.5,201,49.2,38,6,14,2,53,17,17,1.05,3.4,0,0,2009,0
荻野　忠寛,ロッテ,3.65,53,3,3,9,10,0.5,210,49.1,48,6,13,2,39,23,20,1.24,3.91,0,0,2009,0
木田　優夫,ヤクルト,5.55,30,3,4,0,5,0.429,223,48.2,58,6,17,5,31,32,30,1.54,4.74,0,0,2009,0
林　昌樹,広島,4.28,46,0,2,0,5,0,220,48.1,55,5,19,4,27,28,23,1.53,4.59,0,0,2009,0
グウィン,楽天,3.56,47,3,4,4,4,0.429,211,48,37,4,29,5,44,20,19,1.38,4.18,0,0,2009,0
渡辺　亮,阪神,3.4,46,1,0,0,3,1,201,47.2,44,5,17,1,34,19,18,1.28,4.13,0,0,2009,0
建山　義紀,日本ハム,3.78,46,5,7,0,19,0.417,209,47.2,53,3,15,1,43,24,20,1.43,3.02,0,0,2009,0
高橋　秀聡,ソフトバンク,4.91,12,3,4,0,0,0.429,207,47.2,43,8,22,5,42,30,26,1.36,5.24,0,0,2009,0
宮西　尚生,日本ハム,2.89,58,7,2,0,13,0.778,189,46.2,39,6,15,1,55,15,15,1.16,3.27,0,0,2009,0
岩瀬　仁紀,中日,2.12,54,2,3,41,1,0.4,196,46.2,41,2,13,2,34,11,11,1.16,3.06,0,0,2009,0
林　昌範,日本ハム,3.33,46,3,2,0,9,0.6,197,46,35,3,25,3,42,17,17,1.3,3.77,0,0,2009,0
今井　啓介,広島,3.74,9,1,3,0,0,0.25,186,45.2,38,4,15,1,28,20,19,1.16,4.02,0,0,2009,0
福盛　和男,楽天,2.18,35,7,1,10,4,0.875,187,45.1,42,2,13,1,34,11,11,1.21,2.99,0,0,2009,0
江尻　慎太郎,日本ハム,3.2,45,2,1,0,12,0.667,198,45,40,5,25,2,39,16,16,1.44,4.16,0,0,2009,0
高木　啓充,ヤクルト,1.64,12,4,0,0,1,1,174,44,34,3,11,2,19,8,8,1.02,3.96,1,1,2009,0
福田　聡志,巨人,3.48,9,2,0,0,0,1,185,44,41,6,17,3,31,24,17,1.32,4.71,0,0,2009,0
有銘　兼久,楽天,5.15,54,0,2,3,20,0,194,43.2,33,3,27,8,42,25,25,1.37,4.36,0,0,2009,0
川崎　雄介,ロッテ,4.74,45,1,1,0,9,0.5,195,43.2,50,5,18,3,24,23,23,1.56,4.61,0,0,2009,0
村中　恭兵,ヤクルト,7.12,9,1,6,0,0,0.143,202,43,49,5,25,3,35,34,34,1.72,4.96,0,0,2009,0
水田　章雄,ソフトバンク,3.19,46,3,0,0,8,1,184,42.1,49,3,12,0,22,16,15,1.44,3.78,0,0,2009,0
ボーグルソン,オリックス,4.54,30,1,4,0,4,0.2,181,41.2,39,4,16,4,56,26,21,1.32,3.12,0,0,2009,0
大久保　勝信,オリックス,3.07,47,2,1,1,1,0.667,178,41,38,2,16,3,36,16,14,1.32,3.32,0,0,2009,0
豊田　清,巨人,1.99,46,2,2,5,15,0.5,172,40.2,35,3,15,1,32,13,9,1.23,3.32,0,0,2009,0
許　銘傑,西武,3.79,16,1,2,0,1,0.333,179,40.1,42,3,21,3,21,20,17,1.56,4.61,0,0,2009,0
篠田　純平,広島,1.82,13,2,1,0,1,0.667,153,39.2,29,3,8,0,29,8,8,0.93,3.25,1,1,2009,0
萩原　淳,ヤクルト,4.81,34,1,1,0,7,0.5,175,39.1,50,3,14,4,36,21,21,1.63,3.58,0,0,2009,0
菊地原　毅,オリックス,5.21,45,0,3,0,12,0,161,38,45,4,8,2,29,24,22,1.39,3.75,0,0,2009,0
一場　靖弘,ヤクルト,7.88,9,1,5,0,0,0.167,174,37.2,48,10,16,4,27,36,33,1.7,6.73,0,0,2009,0
工藤　公康,横浜,6.51,46,2,3,0,10,0.4,172,37.1,53,11,14,0,24,30,27,1.79,6.71,0,0,2009,0
藤江　均,横浜,6.51,9,0,4,0,0,0,178,37.1,54,8,10,1,24,31,27,1.71,5.42,0,0,2009,0
李　恵踐,ヤクルト,3.65,42,1,1,1,12,0.5,164,37,42,3,14,2,27,15,15,1.51,3.85,0,0,2009,0
山井　大介,中日,6.38,17,0,4,2,2,0,170,36.2,42,6,20,2,29,29,26,1.69,5.47,0,0,2009,0
星野　智樹,西武,4.08,62,1,1,1,22,0.5,152,35.1,34,4,14,5,25,17,16,1.36,4.62,0,0,2009,0
清水　章夫,オリックス,4.93,58,1,2,0,11,0.333,167,34.2,41,3,17,7,18,25,19,1.67,4.94,0,0,2009,0
神内　靖,ソフトバンク,3.89,26,2,3,0,3,0.4,152,34.2,26,4,22,2,33,18,15,1.38,4.79,0,0,2009,0
河原　純一,中日,1.85,44,3,0,0,15,1,136,34,24,2,10,2,18,7,7,1,3.71,0,0,2009,0
阿部　健太,阪神,3.27,19,0,1,0,0,0,147,33,39,2,13,1,24,13,12,1.58,3.54,0,0,2009,0
金村　曉,阪神,2.76,22,1,1,0,0,0.5,135,32.2,34,3,8,0,23,12,10,1.29,3.55,0,0,2009,0
川井　貴志,楽天,3.58,14,0,2,0,1,0,142,32.2,34,2,12,3,17,17,13,1.41,4.25,0,0,2009,0
佐竹　健太,楽天,5.06,34,1,1,0,10,0.5,148,32,35,4,16,2,22,20,18,1.59,5.06,0,0,2009,0
長谷川　昌幸,広島,3.94,10,3,1,0,0,0.75,146,32,35,4,17,0,24,15,14,1.63,4.84,0,0,2009,0
木塚　敦志,横浜,4.83,43,3,2,1,16,0.6,133,31.2,35,5,7,3,20,18,17,1.33,4.67,0,0,2009,0
川越　英隆,オリックス,4.83,24,0,1,0,1,0,141,31.2,45,4,5,1,17,20,17,1.58,4.26,0,0,2009,0
ジェン,阪神,5.46,13,1,1,0,0,0.5,137,31.1,39,4,6,0,18,20,19,1.44,4.21,0,0,2009,0
川岸　強,楽天,4.35,26,4,3,2,3,0.571,136,31,31,5,12,2,16,15,15,1.39,5.35,0,0,2009,0
桑原　謙太朗,横浜,1.76,11,0,0,0,0,0,117,30.2,18,2,9,2,17,6,6,0.88,3.94,0,0,2009,0
パヤノ,中日,2.08,34,2,1,0,6,0.667,126,30.1,17,3,17,1,39,9,7,1.12,3.61,0,0,2009,0
上野　大樹,ロッテ,3.94,16,1,1,0,0,0.5,135,29.2,31,1,15,0,23,14,13,1.55,3.32,0,0,2009,0
加藤　康介,横浜,3.68,31,1,0,0,13,1,127,29.1,21,5,18,2,37,13,12,1.33,4.76,0,0,2009,0
木村　正太,巨人,3.38,25,0,0,0,3,0,118,29.1,23,2,12,0,23,13,11,1.19,3.56,0,0,2009,0
野間口　貴彦,巨人,4.97,25,0,1,1,3,0,133,29,30,4,20,4,28,16,16,1.72,5.36,0,0,2009,0
坂元　弥太郎,日本ハム,5.97,19,0,2,0,2,0,133,28.2,37,3,13,3,11,19,19,1.74,5.18,0,0,2009,0
朝井　秀樹,楽天,6.59,13,0,3,0,1,0,140,28.2,37,4,17,0,25,23,21,1.88,4.97,0,0,2009,0
ウィリアムス,阪神,3.58,31,1,1,0,11,0.5,121,27.2,19,2,20,3,35,11,11,1.41,3.92,0,0,2009,0
Ｍ．中村,巨人,6.18,29,1,2,0,5,0.333,126,27.2,34,5,9,3,28,19,19,1.55,4.64,0,0,2009,0
谷元　圭介,日本ハム,5.53,24,2,0,0,3,1,127,27.2,25,4,20,1,20,18,17,1.63,5.83,0,0,2009,0
木村　文和,西武,8.56,11,0,4,0,0,0,134,27.1,37,5,17,1,25,28,26,1.98,5.64,0,0,2009,0
久保　裕也,巨人,3.29,7,1,0,0,0,1,116,27.1,24,3,10,1,25,10,10,1.24,3.92,0,0,2009,0
藤田　太陽,西武,2,25,2,0,3,4,1,113,27,24,2,9,1,10,6,6,1.22,4.23,0,0,2009,0
山本昌,中日,10.67,6,1,4,0,0,0.2,137,27,45,5,12,0,14,34,32,2.11,5.71,0,0,2009,0
ロー,ソフトバンク,6.33,5,0,4,0,0,0,133,27,36,2,12,2,18,26,19,1.78,4.19,0,0,2009,0
榊原　諒,日本ハム,6.08,10,0,1,0,1,0,123,26.2,37,5,8,1,23,19,18,1.69,4.85,0,0,2009,0
松井　光介,ヤクルト,3.08,17,0,0,0,1,0,110,26.1,25,1,10,1,12,9,9,1.33,3.84,0,0,2009,0
内　竜也,ロッテ,6.23,31,3,1,1,6,0.75,112,26,25,3,12,1,29,18,18,1.42,3.77,0,0,2009,0
岩崎　哲也,西武,4.5,27,2,4,0,9,0.333,115,26,28,2,13,2,15,14,13,1.58,4.47,0,0,2009,0
中山　慎也,オリックス,7.62,5,0,4,0,0,0,124,26,36,1,17,2,13,24,22,2.04,4.81,0,0,2009,0
石井　裕也,横浜,4.26,28,0,6,6,3,0,114,25.1,26,4,11,1,18,15,12,1.46,5.05,0,0,2009,0
レスター,オリックス,5.04,20,0,1,0,1,0,108,25,22,0,11,2,20,14,14,1.32,3.08,0,0,2009,0
梅津　智弘,広島,1.82,26,2,1,0,9,0.667,94,24.2,17,1,4,0,16,6,5,0.85,2.71,0,0,2009,0
青木　勇人,広島,3.8,29,0,0,0,4,0,99,23.2,25,3,4,1,10,10,10,1.23,4.3,0,0,2009,0
佐藤　誠,ソフトバンク,6.56,25,1,1,0,2,0.5,110,23.1,35,5,8,0,14,18,17,1.84,5.73,0,0,2009,0
岡本　慎也,西武,3.97,22,0,1,0,6,0,97,22.2,18,2,14,2,17,10,10,1.41,4.88,0,0,2009,0
小林　正人,中日,0.84,32,3,1,0,1,0.75,82,21.1,15,1,7,1,19,2,2,1.03,3.07,0,0,2009,0
松永　浩典,西武,5.06,18,1,1,1,1,0.5,97,21.1,18,0,15,1,15,13,12,1.55,3.96,0,0,2009,0
金森　敬之,日本ハム,0.84,18,0,0,0,2,0,86,21.1,17,0,8,1,9,2,2,1.17,3.54,0,0,2009,0
牧野　塁,広島,4.22,14,0,2,0,0,0,87,21.1,18,5,5,1,13,10,10,1.08,5.79,0,0,2009,0
三瀬　幸司,ソフトバンク,6.3,17,0,1,0,0,0,92,20,26,1,8,0,19,14,14,1.7,2.92,0,0,2009,0
橋本　義隆,ヤクルト,1.35,13,0,0,0,0,0,76,20,12,3,6,0,12,6,3,0.9,4.62,0,0,2009,0
木谷　寿巳,楽天,4.05,11,1,0,0,0,1,89,20,23,3,5,1,17,11,9,1.4,4.27,0,0,2009,0
高木　康成,オリックス,4.95,6,1,2,0,0,0.333,89,20,18,1,14,0,4,12,11,1.6,5.47,0,0,2009,0
平野　将光,西武,5.49,5,0,1,1,0,0,87,19.2,18,3,10,1,15,12,12,1.42,5.1,0,0,2009,0
新垣　渚,ソフトバンク,7.91,4,0,2,0,0,0,95,19.1,31,5,10,1,15,17,17,2.12,6.64,0,0,2009,0
平井　正史,中日,4.26,25,0,1,1,5,0,81,19,17,4,8,1,16,9,9,1.32,5.44,0,0,2009,0
久米　勇紀,ソフトバンク,2.37,18,1,0,0,0,1,78,19,14,2,9,0,13,7,5,1.21,4.54,0,0,2009,0
桟原　将司,阪神,1.89,15,0,1,0,0,0,84,19,20,1,10,0,21,7,4,1.58,3.17,0,0,2009,0
吉川　輝昭,横浜,11.57,10,0,3,0,0,0,100,18.2,34,4,10,0,10,27,24,2.36,6.28,0,0,2009,0
須永　英輝,日本ハム,8.5,9,0,1,0,2,0,83,18,20,6,8,3,7,17,17,1.56,8.51,0,0,2009,0
伊原　正樹,オリックス,7.64,4,0,3,0,0,0,80,17.2,15,6,10,3,11,15,15,1.42,8.5,0,0,2009,0
藤田　宗一,巨人,2.08,19,1,0,0,2,1,72,17.1,20,1,1,0,10,5,4,1.21,2.89,0,0,2009,0
吉川　光夫,日本ハム,6.61,3,0,2,0,0,0,77,16.1,19,2,10,0,18,17,12,1.78,4.34,0,0,2009,0
中郷　大樹,ロッテ,3.94,14,0,0,0,0,0,73,16,19,2,7,1,17,7,7,1.63,3.75,0,0,2009,0
松家　卓弘,横浜,4.6,9,0,1,0,0,0,62,15.2,11,3,3,3,12,8,8,0.89,5.23,0,0,2009,0
横山　道哉,横浜,4.8,14,0,0,0,0,0,66,15,19,2,4,0,12,9,8,1.53,3.85,0,0,2009,0
宮本　賢,日本ハム,3.07,12,0,0,0,1,0,62,14.2,14,1,7,1,3,6,5,1.43,5.23,0,0,2009,0
ベイリス,西武,3.21,19,0,0,1,6,0,67,14,18,1,8,0,6,5,5,1.86,4.91,0,0,2009,0
小宮山　悟,ロッテ,9.88,12,1,0,1,1,1,67,13.2,24,2,1,2,7,15,15,1.83,4.66,0,0,2009,0
三井　浩二,西武,6.23,19,0,1,0,5,0,55,13,12,4,3,0,7,9,9,1.15,6.74,0,0,2009,0
西村　健太朗,巨人,4.97,11,2,0,0,0,1,59,12.2,15,1,5,1,10,9,7,1.58,3.75,0,0,2009,0
